Front;;Back;;Tags
So basically…;;So basically, we’re out of time.<br>So basically, nobody showed up.<br>So basically, the answer is no.<br>So basically, I’m moving next month.<br>So basically, that’s the whole story.;;10-Summary
In the end…;;In the end, we stayed home and watched Netflix.<br>In the end, everything worked out fine.<br>In the end, she said yes.<br>In the end, I got the job.<br>In the end, it was worth the wait.;;10-Summary
All in all…;;All in all, it was a great holiday.<br>All in all, I’m happy with the result.<br>All in all, a very productive day.<br>All in all, not a bad year.<br>All in all, we did pretty well.;;10-Summary
Overall…;;Overall, I really enjoyed the film.<br>Overall, the service was excellent.<br>Overall, a successful event.<br>Overall, prices are too high.<br>Overall, I’d recommend it.;;10-Summary
On the whole…;;On the whole, it was a good experience.<br>On the whole, people were friendly.<br>On the whole, the food was excellent.<br>On the whole, I prefer summer.<br>On the whole, a quiet week.;;10-Summary
To sum up…;;To sum up, we need more time and money.<br>To sum up, don’t do it.<br>To sum up, sales are up 20%.<br>To sum up, great team effort.<br>To sum up, see you next year!;;10-Summary
In short…;;In short, we can’t afford it.<br>In short, yes please.<br>In short, you’re wrong.<br>In short, it’s impossible.<br>In short, let’s go home.;;10-Summary
In a nutshell…;;In a nutshell, the answer is no.<br>In a nutshell, I quit.<br>In a nutshell, we’re broke.<br>In a nutshell, it was awful.<br>In a nutshell, perfect timing.;;10-Summary
The bottom line is…;;The bottom line is we need to save money.<br>The bottom line is I’m not coming.<br>The bottom line is it’s too late.<br>The bottom line is quality matters.<br>The bottom line is you decide.;;10-Summary
At the end of the day…;;At the end of the day, family comes first.<br>At the end of the day, we all want happiness.<br>At the end of the day, health is everything.<br>At the end of the day, I’m just tired.<br>At the end of the day, we tried our best.;;10-Summary
When all is said and done…;;When all is said and done, we did pretty well.<br>When all is said and done, nobody got hurt.<br>When all is said and done, it was worth it.<br>When all is said and done, I’m happy here.<br>When all is said and done, love wins.;;10-Summary
Anyway…;;Anyway, let’s move on.<br>Anyway, how are you?<br>Anyway, I have to go now.<br>Anyway, see you tomorrow.<br>Anyway, back to work!;;10-Summary
So yeah…;;So yeah, that’s what happened.<br>So yeah, I’m moving next week.<br>So yeah, totally forgot.<br>So yeah, see you later.<br>So yeah, that’s my plan.;;10-Summary
That’s about it.;;We talked about the budget – that’s about it.<br>I explained everything – that’s about it.<br>Meeting over – that’s about it.<br>Story finished – that’s about it.<br>Nothing more to say – that’s about it.;;10-Summary
I think that covers it.;;I think that covers it – any questions?<br>I think that covers it, thanks everyone.<br>I think that covers it for today.<br>I think that covers it – let’s eat!<br>I think that covers it – see you next time.;;10-Summary
To wrap it up…;;To wrap it up, thank you all for coming.<br>To wrap it up, sales are up.<br>To wrap it up, don’t forget tomorrow.<br>To wrap it up, great job everyone.<br>To wrap it up, any final thoughts?;;10-Summary
In conclusion…;;In conclusion, we recommend the new plan.<br>In conclusion, teamwork made it possible.<br>In conclusion, thank you and good night.<br>In conclusion, the answer is yes.<br>In conclusion, let’s do this!;;10-Summary
Ultimately…;;Ultimately, you have to decide.<br>Ultimately, health is most important.<br>Ultimately, we all want the same thing.<br>Ultimately, hard work pays off.<br>Ultimately, it was a success.;;10-Summary
Finally…;;Finally, I’d like to thank my team.<br>Finally, here’s the dessert menu.<br>Finally, the answer is no.<br>Finally, we made it!<br>Finally, questions?;;10-Summary
Lastly…;;Lastly, don’t forget to switch off the lights.<br>Lastly, enjoy the rest of your evening.<br>Lastly, any questions before we finish?<br>Lastly, congratulations to the winners.<br>Lastly, see you all next week.;;10-Summary
